id,street,city,zipcode
0,1260 Bay Street,Toronto , M5J 2R8
1,316 Bay Street,Toronto , M5J 2R8
2,1914 Parkdale Ave,Cornwall , K6J 3P7
3,2422 Central Pkwy,Mississauga , L5L 5S1
4,2333 Ontario St,St Catharines , L2N 1S8
5,2124 Adelaide St,Toronto , M5H 1P6
6,1145 Montreal Road,Ottawa , K1L 6C7
7,635 Lynden Road,Orono , L0B 1M0
8,4896 Whitmore Road,Fort Erie , L0L 0L0
9,291 Speers Road,Oakville , L6H 3H5
10,3705 Nelson Street,Delvin , POW 1C0
11,2304 Fallon Drive,Tiverton , N0G 2T0
12,699 Nelson Street,Hudson , P0V 1X0
13,148 Pape Ave,Toronto , M4E 2V5
14,2051 Birkett Lane,Brantford , N3T 2Z8
15,2676 Dufferin Street,Toronto , M6H 4B6
16,818 Thurston Dr,Orleans ,  K1C 1T1
17, 2325 Lock Street,Galt , N1R 3Y8
18,86 Eglinton Avenue,Toronto , M4P 1A6
19,3806 Fallon Drive,Durham , N0G 1R0
20,3229 Fallon Drive,Dungannon , N0M 1R0
21,2893 Runnymede Rd,Toronto , M6S 2Z7
22,2229 Lockhart Drive,Barrie , L4M 3B1
23,497 Bellwood Acres Rd,Huntsville , P0A 1K0
24,1163 Weir Crescent,Toronto , M1E 3T8
25,4573 Tycos Dr,Toronto , M5T 1T4
26,3594 Reserve St,Frankford , K0K 2C0
27,2958 Beaver Creek,Thornhill , L4J 1W2
28,4862 Reserve St,Cambray , K0M 1E0
29,4369 Wallbridge Loyalist Rd,Belleville , K8N 1L9
30,2125 Parkdale Ave,Brockville , K6V 4X4
31,4588 Merivale Road,Stittsville , K2S 1B9
32,3941 Danforth Avenue,Toronto , M4K 1A6
33,622 Nelson Street,Big Trout Lake , P0V 1G0
34,4991 Bayfield St,Richmond Hill , L4C 3Y2
35, 2546 Fallon Drive,Bayfield , N0M 1G0
36,1942 Victoria Park Ave,Toronto , M2J 3T7
37,1425 Speers Road,Maple , L6A 1G5
38,2638 Heatherleigh,Cooksville , L5A 1V9
39,1306 Merivale Road,Kanata , K2K 1L9
40,4065 Eglinton Avenue,Tornoto , M4P 16A
41,4394 Islington Ave,Toronto , M9V 2X5
42,4637 Fallon Drive,Chesley , N0G 1L0
43,497 Bellwood Acres Rd,Huntsville , P0A 1K0
44,2092 Nelson Street,Pass Lake , P0T 2M0
45,2169 St. Paul Street,St Catharines , L2S 2K4
46,2421 Yonge Street,Toronto , M4W 1J7
47,1682 MacLaren Street,Ottawa , K1P 5M7
48,497 Bellwood Acres Rd,Huntsville , P0A 1K0
49,4573 Tycos Dr,Toronto , M5T 1T4
50,2422 Central Pkwy,Mississauga , L5L 5S1
51,497 Bellwood Acres Rd,Huntsville , P0A 1K0
52,635 Lynden Road,Orono , L0B 1M0
53,1425 Speers Road,Maple , L6A 1G5
54,2333 Ontario St,St Catharines , L2N 1S8
55,2421 Yonge Street,Toronto , M4W 1J7
56,2124 Adelaide St,Toronto , M5H 1P6
